shopid,seller_type,rating_star,display_response_rate,sku,camp_flag,main_category,p30_gmv,p30_order_cnt,follower_count,Decorated
16885122,NS,4.96,95,103,N,Baby & Toys,2446.84,26,100,0
18109304,NS,4.81,95,444,N,Women Clothes,376.88,7,981,1
18846251,NS,5,95,43,N,Baby & Toys,304.54,5,92,0
19375669,PS,4.92,78,280,N,Health & Beauty,5631.72,72,611,0
20657023,NS,4.95,65,8,N,Baby & Toys,159.5,8,50,0
21376770,NS,4.97,95,114,N,Home & Living,75466.34,1012,13254,0
22438155,PS,4.95,93,36,N,Health & Beauty,4414.25,138,879,0
23247365,NS,4.87,92,163,N,Baby & Toys,966.14,13,1063,0
24623166,PS,4.81,95,76,N,Health & Beauty,45821.85,648,1583,0
27640502,NS,4.97,94,170,N,Muslim Fashion,620.96,18,86,0
28389263,NS,4.98,88,16,N,Health & Beauty,2126,8,160,0
28768205,NS,4.73,88,49,N,Health & Beauty,1228,8,236,0
31434556,NS,4.81,95,147,N,Watches,633.5,16,108,0
31719428,NS,4.83,57,136,N,Women Clothes,726.07,8,849,0
33525759,NS,4.97,90,32,N,Home & Living,377.66,7,178,0
33838578,NS,4.87,84,122,N,Baby & Toys,1718.51,36,879,0
33940782,NS,4.83,84,837,N,Computer & Accessories,26526.93,158,489,0
34401346,NS,4.86,92,198,N,Health & Beauty,26613.64,532,1687,0
34552644,NS,4.93,93,186,N,Baby & Toys,2649.74,42,235,0
35778203,PS,4.96,84,44,N,Baby & Toys,8474.14,253,177,0
37346196,NS,4.86,82,219,N,Health & Beauty,1463.09,68,2256,0
37372530,NS,4.86,81,9,N,Baby & Toys,2202.25,38,159,0
37819643,NS,4.92,78,212,N,Health & Beauty,417.95,9,362,1
38452321,NS,4.85,94,51,N,Muslim Fashion,5081.77,25,161,0
38509217,PS,4.9,94,38,N,Mobile & Accessories,16002.63,199,1033,0
39149115,PS,4.71,78,690,N,Home & Living,19020.13,866,9041,0
39209292,NS,4.9,92,15,N,Men's Bags & Wallets,1973.01,54,145,0
41239436,PS,4.93,92,281,N,Baby & Toys,5523.02,71,1084,0
41250775,NS,5,87,35,N,Health & Beauty,578.16,11,52,0
41745298,NS,4.91,78,19,N,Baby & Toys,227.02,6,211,0
43829377,NS,4.98,95,39,N,Tickets & Vouchers,24544.92,1180,1418,0
45325475,NS,4.95,94,25,N,Home & Living,4051.27,37,223,0
45740116,NS,4.94,95,16,N,Home & Living,6465.71,104,1027,0
48943652,NS,4.94,95,179,N,Gaming & Consoles,2568.44,42,47,0
51633723,NS,4.8,89,50,N,Men Shoes,983.73,29,140,0
51650872,NS,4.85,78,248,N,Automotive,4602.64,112,529,0
52262909,NS,4.87,95,76,N,Home & Living,305.24,10,603,0
52791081,NS,4.88,65,359,N,Groceries & Pets,1445.07,26,457,0
53453422,PS,4.93,93,44,N,Home & Living,18644.88,384,76,0
53548397,NS,4.89,92,110,N,Health & Beauty,2318.09,33,189,0
53630696,PS,4.83,95,239,N,Women's Bags,16224.73,277,3494,0
53686240,NS,4.98,93,449,N,Automotive,2408.85,12,63,0
55706614,NS,4.93,95,70,N,Watches,423.62,10,67,0
55876516,NS,4.88,95,39,N,Baby & Toys,1398.97,28,68,0
59112841,NS,5,90,24,N,Men Clothes,2036,31,210,0
61107864,NS,4.95,91,28,N,"Games, Books & Hobbies",643.14,13,103,0
62568488,PS,4.77,94,54,N,Mobile & Accessories,46487.46,1832,2324,0
62581072,PS,4.9,95,305,N,Muslim Fashion,7097.59,227,12119,0
62829490,NS,4.81,65,117,N,Men's Bags & Wallets,585.06,5,123,0
63509900,NS,4.87,80,20,N,Health & Beauty,381.71,5,9,0
63697234,NS,4.9,95,12,N,Health & Beauty,678.09,12,18,0
64199168,NS,4.72,95,249,N,Baby & Toys,861.52,23,2813,0
64253969,NS,4.71,91,4964,N,Women Clothes,475.58,11,5151,0
68784827,PS,4.95,95,278,N,Baby & Toys,25162.05,354,478,0
68811268,NS,4.78,95,236,N,Baby & Toys,1273.46,13,1291,0
69873461,NS,4.97,83,35,N,Health & Beauty,2853.9,16,37,0
73015028,NS,5,78,39,N,Health & Beauty,440,6,891,0
74316659,NS,4.71,92,501,N,"Games, Books & Hobbies",4950.5,56,280,0
74800008,NS,4.77,84,2308,N,Mobile & Accessories,5285.98,146,312,0
76211408,NS,4.96,91,155,N,Home & Living,893.57,28,227,0
76213673,NS,4.29,78,2943,N,Women Shoes,435.64,10,22,0
76677166,NS,4.85,78,153,N,Men's Bags & Wallets,349,8,29,0
77288031,NS,4.59,89,14,N,Home & Living,1634.81,24,45,0
77518608,NS,4.73,95,3405,N,Women Clothes,4033.15,188,603,0
80040556,NS,4.77,95,6,N,Health & Beauty,181,5,98,0
80184398,NS,4.88,95,730,N,Automotive,821,17,10,0
80288050,PS,4.69,95,299,N,Mobile & Accessories,3251.92,117,2424,0
80788188,PS,4.7,92,4274,N,Sports & Outdoor,14140.31,496,1634,0
82015526,OS,4.9,65,34,N,Home Appliances,53345.88,130,864,0
82615312,NS,4.67,95,4295,N,Baby & Toys,2739.2,76,823,0
84115149,NS,5,95,14,N,Home & Living,459.97,5,286,0
84397028,NS,4.86,95,147,N,Health & Beauty,6799.12,209,1198,0
84980892,NS,4.88,78,90,N,Home & Living,869.04,16,6,0
85188347,NS,4.96,95,41,N,Home Appliances,1566.99,50,11,0
88362770,NS,4.67,93,23,N,Fashion Accessories,328.79,8,99,0
88551050,NS,5,78,23,N,Baby & Toys,380.08,8,467,0
88684146,PS,4.91,93,354,N,Muslim Fashion,13676.55,148,2270,0
88904643,NS,4.6,91,140,N,Women Clothes,503.11,15,101,0
91051632,NS,4.77,65,1192,N,Baby & Toys,3554.49,98,189,0
91458474,NS,4.55,65,2145,N,Home & Living,601.32,16,20,0
92278105,NS,4.93,94,41,N,Health & Beauty,12864.23,236,800,0
92378315,NS,5,86,20,N,Health & Beauty,745.7,9,58,0
92759038,NS,4.78,81,2640,N,Baby & Toys,1666.2,62,1029,0
94590951,NS,4.82,95,58,N,Baby & Toys,304,6,605,0
95194111,PS,4.7,89,4778,N,Home & Living,5864.43,272,110,0
97571817,NS,4.56,95,8,N,Health & Beauty,1005.99,13,13,0
99781009,NS,4.93,65,22,N,Muslim Fashion,958.5,33,44,0
101438211,NS,5,95,48,N,Home Appliances,131.01,5,28,0
101609887,NS,5,95,83,N,Automotive,28107.32,55,80,0
104475174,NS,5,95,12,N,Groceries & Pets,423.32,7,4,0
106375861,NS,4.75,88,104,N,Home & Living,4996.3,9,13,0
106932191,NS,4.78,65,28,N,Women Clothes,4697.6,148,229,0
107388248,NS,4.81,57,129,N,"Games, Books & Hobbies",1495.39,30,66,0
108027905,PS,4.94,95,31,N,Mobile & Accessories,793.21,38,147,0
108117055,NS,4.72,86,3420,N,Women Clothes,1333.28,34,338,0
110910105,NS,4.93,91,300,N,Baby & Toys,1785.42,49,2028,0
112380629,PS,4.89,93,132,N,Automotive,9634.19,172,712,0
112439897,NS,4.66,78,225,N,Women's Bags,959.19,36,1401,0
112642103,NS,5,95,32,N,Others,416.4,10,212,0
114917739,NS,4.9,85,1439,N,Women Shoes,1575.82,37,2745,0
115749713,NS,5,57,190,N,Health & Beauty,822.25,13,12,0
118572975,NS,4.83,91,22,N,Muslim Fashion,2668.1,21,160,0
118715362,PS,4.78,87,18,N,Home & Living,11283.17,121,459,0
118794889,NS,4.56,95,329,N,Health & Beauty,421.13,7,97,0
119314814,NS,4.96,95,194,N,Baby & Toys,2928.62,49,1919,0
119568477,NS,5,78,94,N,Automotive,254.16,6,10,1
123541415,NS,4.67,57,288,N,Home & Living,936.22,18,829,0
123758351,NS,4.71,95,106,N,Sports & Outdoor,1487.72,21,266,0
126549113,NS,4.76,57,924,N,Women Clothes,1179.21,43,302,0
127523253,NS,4.9,65,185,N,Home & Living,833.5,29,87,0
128516522,NS,4.87,86,896,N,Men Clothes,5747.5,95,1643,0
129512380,NS,4.67,78,1941,N,Women's Bags,3873.57,155,401,0
130069389,NS,4.91,65,201,N,Health & Beauty,778.53,42,1135,0
131619956,NS,4.32,85,1879,N,Men Clothes,8341.99,218,629,0
131855163,NS,4.5,92,482,N,Mobile & Accessories,498.36,29,319,0
132622306,NS,4.56,95,32,N,Sports & Outdoor,559.9,10,155,0
133294906,NS,4.94,81,942,N,"Games, Books & Hobbies",5007.23,25,221,0
133330917,NS,4.88,95,59,N,"Games, Books & Hobbies",22876.68,147,57,0
134498812,PS,4.91,95,458,N,Women Shoes,9349.65,293,1489,0
136338638,NS,5,91,246,N,Baby & Toys,1371.71,37,44,0
136372240,NS,4.92,95,560,N,Home & Living,744.7,12,12260,0
136990291,NS,5,95,12,N,Gaming & Consoles,2839.1,55,132,0
138929876,NS,4.91,93,199,N,Groceries & Pets,35787.2,271,77,0
139727144,NS,5,65,6,N,Groceries & Pets,353.63,5,370,0
139768990,NS,4.62,95,205,N,Sports & Outdoor,445.97,13,74,0
139817719,NS,4.96,95,156,Y,Health & Beauty,2441.52,71,577,1
140798225,NS,4.6,57,152,N,Mobile & Accessories,543.16,6,5,0
140943206,NS,4.71,91,154,N,Women Clothes,2876.69,84,318,0
141949895,NS,4.47,65,14,N,Mobile & Accessories,605.77,12,56,0
142216771,NS,4.42,95,357,N,Women Clothes,3596.81,128,213,0
142621607,NS,4.95,95,110,N,Women's Bags,1712.95,38,756,0
143020932,NS,5,81,13,N,Health & Beauty,1740.09,17,31,0
143543182,NS,4.96,65,34,N,Health & Beauty,2683.86,48,36,0
144979613,NS,4.2,78,471,N,Women's Bags,1051,7,539,0
144987422,NS,4.8,78,948,N,Mobile & Accessories,165.76,9,1,0
148300383,NS,4.67,65,998,N,Men Clothes,188.22,6,49,0
151676453,NS,5,95,16,N,Mobile & Accessories,5086,5,8,0
620899,NS,4.93,92,11,N,Health & Beauty,1439.82,24,2182,0
1201878,PS,4.96,94,228,N,Health & Beauty,13331.17001,128,1352,0
1236425,NS,4.79,91,983,N,Women Shoes,734.15,11,149,0
3409712,NS,4.88,95,118,N,Women's Bags,259.5,5,183,0
3503651,PS,4.9,92,54,N,Home & Living,37421.48,349,1342,0
4847360,NS,4.94,89,9,N,Health & Beauty,718.12,8,188,0
5624461,NS,4.9,90,554,N,Health & Beauty,25362.21,255,1343,0
7662475,NS,4.8,91,179,N,Women Shoes,147,5,354,0
7790074,NS,4.82,95,33,N,Muslim Fashion,513,7,141,0
7812043,NS,4.84,95,101,N,Women Clothes,147.12,9,257,0
7865770,NS,4.86,87,12,N,Home & Living,1687,16,182,0
8988810,NS,4.77,78,113,N,Home & Living,3634.98,109,524,0
9601018,NS,4.87,93,304,N,Baby & Toys,718.92,14,345,0
9667933,PS,4.85,85,82,N,Baby & Toys,7999.99,161,1041,0
10367608,NS,4.45,95,110,N,Home & Living,1054,22,474,0
10554673,NS,4.88,95,258,N,Baby & Toys,12425.62,495,4272,0
10575650,NS,4.91,95,22,N,"Games, Books & Hobbies",3523.6,41,883,0
12102161,NS,4.86,92,219,N,Health & Beauty,9287.65,220,1499,0
14792837,NS,4.96,94,14,N,Muslim Fashion,6416.92,61,467,0
15856379,PS,4.84,94,57,N,Muslim Fashion,10955.09,324,826,0
16000105,NS,4.93,85,26,N,Home & Living,549.49,26,1726,0
16339471,NS,4.88,95,80,N,Health & Beauty,996.62,17,1090,0
16393732,NS,4.69,65,823,N,Mobile & Accessories,3272.01,119,671,0
16626725,NS,4.77,91,1180,N,Men Shoes,892.2,6,6007,0
17822981,PS,4.94,81,465,N,Groceries & Pets,9330.65,203,2734,0
19821308,PS,4.93,95,66,N,Baby & Toys,3047.5,64,961,0
20084706,NS,4.89,91,208,N,Health & Beauty,1169,29,765,0
20099409,NS,4.8,78,8,N,Home & Living,1088.34,11,44,0
20190169,NS,4.95,78,52,N,Home & Living,1531.18,12,506,0
22192228,NS,4.84,80,81,N,Home & Living,2019.24,14,118,0
22364460,PS,4.86,86,67,N,Women's Bags,31062.93,964,3914,0
23013126,PS,4.97,92,34,N,Home & Living,20746.99,229,1476,0
23391509,NS,4.96,90,29,N,Health & Beauty,938.62,17,36,0
23425998,NS,4.95,87,6,N,Automotive,3895.01,85,158,1
23801934,PS,4.87,92,20,N,Health & Beauty,7053.59,118,166,0
23861183,NS,4.91,95,14,N,Health & Beauty,474.49,14,315,0
26390247,NS,4.84,95,54,N,Health & Beauty,3113.04,31,99,0
26684533,NS,4.66,65,199,N,Mobile & Accessories,469.86,16,74,0
27208097,NS,4.81,78,10,N,Health & Beauty,1890,31,220,0
28357657,NS,4.65,95,33,N,Watches,2368.67,19,72,0
28610236,NS,4.89,95,82,N,Baby & Toys,9040.89,44,259,0
28722476,NS,5,93,6,N,Health & Beauty,7048.6,31,66,0
28976729,NS,4.75,93,1167,N,Women Clothes,4087,85,1425,0
29001126,NS,4.9,80,8,N,Groceries & Pets,465.16,7,54,0
29436533,NS,4.85,65,36,N,Baby & Toys,466.88,7,78,0
29628938,NS,4.97,95,186,N,Groceries & Pets,1603.91,51,458,1
29974993,NS,4.75,93,600,N,Men Clothes,4037.7,54,329,0
30196692,NS,4.92,65,5,N,Health & Beauty,322,7,1072,0
31245251,NS,4.86,91,18,N,Health & Beauty,4170.78,56,67,0
31527993,NS,4.96,95,181,N,Men Clothes,24938.46,343,1143,0
32413957,NS,4.94,81,76,N,Baby & Toys,1392.1,48,219,0
33810794,PS,4.96,95,52,N,Women Clothes,4830.85,49,1458,0
34813435,NS,4.74,91,15,N,Baby & Toys,686,14,136,1
35613858,NS,4.97,85,26,N,Baby & Toys,184,5,154,0
36453942,NS,4.84,92,56,N,Women Clothes,1015.3,23,87,0
39239197,NS,4.95,65,31,N,Men Clothes,418.91,10,120,0
39936608,NS,4.92,65,645,N,Mobile & Accessories,3194.77,16,194,0
41168787,NS,4.91,90,15,N,Home & Living,309,11,358,0
42341112,NS,4.9,83,56,N,Mobile & Accessories,265752.55,4098,2093,0
42575106,PS,4.9,92,1857,N,Computer & Accessories,94103.29,224,970,0
42666357,NS,4.93,65,18,N,Health & Beauty,285.41,7,20,0
43714674,NS,5,95,6,N,Muslim Fashion,476.25,6,14,0
45023902,NS,4.77,78,8,N,Computer & Accessories,109.3,17,34,0
46863010,NS,4.76,95,17,N,Men's Bags & Wallets,722.98,15,89,0
46937728,NS,4.61,78,32,N,Computer & Accessories,4193.39,11,55,0
47011016,NS,4.82,91,8,N,Muslim Fashion,3154.48,46,138,1
49787936,NS,4.76,88,847,N,Women's Bags,373.62,11,2718,0
50421490,NS,4.88,83,142,N,Computer & Accessories,2593.69,108,112,0
52077884,NS,4.84,65,432,N,Mobile & Accessories,563.8,14,1089,0
52651071,PS,4.79,65,336,N,Baby & Toys,3310.62,88,1125,0
52936573,NS,4.8,92,897,N,Men Clothes,24749.89,548,2914,0
57647426,NS,5,85,9,N,Automotive,558,6,87,0
58814223,NS,4.75,65,17,N,Health & Beauty,3151.8,19,416,0
60006559,NS,4.83,87,769,N,Home & Living,39732.82,866,1057,0
60165336,NS,4.76,92,122,N,Health & Beauty,4231.33,33,89,0
60563992,NS,4.9,82,6,N,Health & Beauty,394.56,13,150,0
62223924,NS,5,65,13,N,Health & Beauty,3601.85,13,632,0
63710668,NS,4.85,95,61,N,Muslim Fashion,1798,17,117,0
66261678,NS,4.87,87,24,N,Home & Living,207.12,6,163,0
66683807,NS,4.83,95,5,N,Home & Living,203.28,11,8,0
66856352,PS,4.7,92,8132,N,Home & Living,14871.7,495,901,0
67143487,NS,4.97,95,7,N,Muslim Fashion,873.02,25,73,0
67354039,NS,4.24,95,4948,N,Baby & Toys,633.55,9,717,0
67641973,NS,4.84,81,22,N,Muslim Fashion,629.61,11,1216,0
69068685,NS,4.64,86,47,N,Computer & Accessories,10343.8,7,35,0
69890441,PS,4.89,95,843,N,Fashion Accessories,9258.36,196,5780,0
70029756,NS,4.9,92,33,N,Women Shoes,2640.68,70,3356,0
70063835,PS,4.92,95,500,N,Mobile & Accessories,19120.3,336,1104,0
71230271,NS,4.87,65,235,N,Health & Beauty,563.2,7,821,0
73287686,NS,4.67,90,1220,N,Men Clothes,936.76,7,310,0
73592322,NS,4.74,87,388,N,Automotive,4032,11,130,0
73596978,PS,4.84,91,224,N,Baby & Toys,39941.2,1024,3833,0
74147976,NS,4.86,65,80,N,Health & Beauty,3812.28,119,788,0
74567304,NS,4.72,93,675,N,Women's Bags,7477.97,47,719,0
76001998,NS,4.84,95,81,N,Computer & Accessories,2089.53,29,45,0
76320020,NS,4.64,95,341,N,Mobile & Accessories,364,14,282,0
76859172,NS,5,65,35,N,Sports & Outdoor,1157.08,11,52,0
77518082,NS,4.68,65,1439,N,Home & Living,1110.05,43,187,0
78484121,PS,4.7,94,312,N,Health & Beauty,13552.15,517,3645,0
78838949,NS,4.78,78,53,N,Mobile & Accessories,150.47,6,588,0
79068842,NS,5,95,35,N,Health & Beauty,3485.94,10,59,0
80032790,NS,4.59,83,743,N,Women Shoes,527.66,13,3813,0
80185629,NS,4.76,95,1354,N,Women Clothes,8538.45,131,1430,0
80853753,PS,4.68,87,513,N,Mobile & Accessories,4009.32,141,965,0
80959035,NS,4.8,91,2851,N,Fashion Accessories,427.69,13,1094,0
82009120,NS,5,95,5,N,Mobile & Accessories,330.91,7,739,0
83646663,NS,5,57,18,N,"Games, Books & Hobbies",2164,31,19,0
83679335,NS,4.91,86,9,N,Tickets & Vouchers,3980.8,53,673,0
85173148,NS,4.84,91,18,N,Health & Beauty,227.28,8,3673,0
88019360,NS,5,82,30,N,Baby & Toys,383.39,5,137,0
88193385,NS,4.86,65,45,N,Mobile & Accessories,2731.3,129,248,0
89293662,NS,4.86,90,340,N,Mobile & Accessories,845.97,41,2329,0
91267843,NS,4.88,95,300,N,Home & Living,619.55,14,1846,0
91509937,NS,4.64,78,1759,N,Women Clothes,3973.93,68,40,0
91678908,NS,4.66,78,916,N,Fashion Accessories,845.74,49,122,0
91959587,NS,4.97,95,56,N,Health & Beauty,937.38,15,415,0
92300587,NS,4.94,90,131,N,Groceries & Pets,7705.19,128,518,0
93754620,PS,4.8,90,5311,N,Home & Living,14028.06,333,629,0
96097823,NS,4.74,78,49,N,Women's Bags,360.12,5,1037,0
96692831,PS,4.83,95,620,N,Home & Living,11623.74,463,6139,0
96710128,NS,4.67,87,2928,Y,Health & Beauty,549.99,15,4741,1
97985336,NS,4.79,95,233,N,Mobile & Accessories,184.43,18,567,0
101519864,NS,4.78,88,464,N,Mobile & Accessories,354.9,16,1365,0
101833357,NS,4.64,78,1321,N,Women Clothes,344.77,16,1446,0
102733334,NS,4.64,86,2050,N,Health & Beauty,803.42,54,61,0
104477476,NS,4.93,95,19,N,Women Clothes,539.21,13,658,0
104745741,PS,4.77,90,7609,N,Home & Living,7549.54,206,98,0
105326125,NS,4.54,78,3073,N,Women Clothes,4186.73,135,2224,0
106365563,NS,4.46,57,516,N,Automotive,321.82,10,369,0
106407459,NS,4.77,87,308,N,"Games, Books & Hobbies",539,5,21,0
113198875,NS,4.52,90,201,N,Home & Living,570.42,27,854,0
113901048,NS,4.9,92,15,N,Mobile & Accessories,3307.66,43,52,0
115747521,NS,5,95,2107,N,Watches,1256.87,15,42,0
117382353,NS,4.55,65,3000,N,Women Clothes,320.44,6,869,0
118973108,NS,4.72,78,107,N,Women Clothes,2137.02,47,54,0
119012566,NS,5,95,61,N,Mobile & Accessories,3466.72,12,62,0
120583861,NS,5,95,6,N,Health & Beauty,1711.54,16,165,0
121174317,PS,4.71,93,412,N,Home & Living,2023.59,49,886,0
122268432,NS,5,94,76,N,Fashion Accessories,153.59,6,208,0
123568034,NS,4.92,78,210,N,Mobile & Accessories,303.32,6,17,0
129623869,NS,4.78,90,388,N,Women Clothes,985.9,33,1538,0
129643015,NS,4.94,95,282,Y,Women Clothes,1793.56,43,2777,1
129863880,NS,4.89,92,365,N,Home & Living,460.17,9,265,0
130152199,NS,4.97,88,32,N,Health & Beauty,296.85,16,20,0
130602763,NS,4.9,95,8,N,Baby & Toys,326.76,10,15,0
131234968,NS,4.89,95,67,N,Watches,375.06,11,436,0
132990200,NS,4.5,88,61,N,Watches,804,14,57,0
133921696,NS,5,95,5,N,Health & Beauty,328,5,2,0
134723089,NS,5,88,102,N,Baby & Toys,205.4,8,96,0
134931667,NS,4.69,95,236,Y,Watches,749.21,40,1652,1
135556860,NS,5,95,11,N,Mobile & Accessories,565.02,5,2,0
136816368,PS,4.92,92,312,Y,Computer & Accessories,7420.07,96,436,1
139353976,NS,4.51,93,248,N,Men Shoes,2585.11,80,229,0
140260210,NS,4.75,92,51,N,Men Clothes,1972.2,23,871,0
140300154,NS,5,78,716,N,Men Clothes,283.25,5,661,0
141125010,NS,4.82,65,146,N,Automotive,2358.76,30,256,0
141866205,NS,4.79,95,471,N,Mobile & Accessories,169.54,12,55,0
646439,NS,4.96,91,106,N,Health & Beauty,3388.67,48,1413,0
1520141,PS,4.8,78,174,N,Health & Beauty,1983.99,63,952,0
2656774,NS,4.93,95,44,N,Gaming & Consoles,1699.36,45,311,0
3439259,PS,4.92,95,1569,N,Health & Beauty,31930.95,477,5106,0
3767478,PS,4.99,95,279,N,"Games, Books & Hobbies",9144.71,119,515,0
5458936,NS,4.78,78,138,N,Women's Bags,379.7,6,16146,0
5924224,NS,4.96,94,523,N,Women Clothes,964,15,146,0
6426401,NS,5,78,87,N,Home & Living,212,5,918,0
6816172,NS,4.77,92,203,N,Health & Beauty,10012.45,121,2155,0
8413925,NS,4.89,78,123,Y,Women Shoes,32804.42,1273,12859,1
8473192,NS,4.68,95,51,N,Health & Beauty,1087.91,14,248,0
8528092,NS,4.72,88,3391,N,Health & Beauty,17115.48,755,7644,0
8619741,PS,4.95,78,178,N,Baby & Toys,1849.28,51,1770,0
8696510,NS,4.98,91,82,N,Baby & Toys,404.12,7,172,0
9227212,NS,4.96,90,14,N,Health & Beauty,303,5,427,0
9314539,NS,4.97,57,12,N,Health & Beauty,589.41,9,90,0
9915388,NS,4.71,87,312,N,Mobile & Accessories,3808.78,87,435,0
10654956,NS,4.92,84,25,N,Health & Beauty,133,7,1080,0
10762379,NS,4.86,78,47,N,Baby & Toys,980.83,12,52,0
10817320,NS,4.98,90,436,N,Home & Living,538,15,507,0
11092059,NS,4.9,95,300,N,Women Clothes,2865.98,50,1093,0
12401692,NS,4.84,95,24,N,Baby & Toys,232.24,10,246,0
12776302,NS,4.89,78,73,N,Muslim Fashion,4836.96,65,1391,0
14402993,NS,4.64,57,15,N,Fashion Accessories,73,5,84,0
15006460,PS,4.92,95,548,N,Women Clothes,3736.17,104,885,0
16952823,NS,4.98,90,56,N,Home & Living,1077.13,9,238,0
17114403,NS,4.97,87,56,N,Health & Beauty,972.08,10,320,0
18845355,NS,4.92,94,160,N,Home & Living,8548.49,64,1889,0
19791680,NS,5,88,237,N,Gaming & Consoles,568.8,10,441,0
19816700,NS,4.18,78,536,N,Women Clothes,758.08,6,938,0
20736705,PS,4.87,92,125,N,Baby & Toys,6932.14,98,1912,0
22789209,NS,4.97,95,26,N,Health & Beauty,3412.07,35,827,0
23660979,NS,4.84,86,92,N,Health & Beauty,1904.31,39,480,0
24210029,NS,4.99,92,115,N,Sports & Outdoor,773.67,17,43,0
25307121,NS,4.98,95,61,N,Tickets & Vouchers,5825.18,536,294,0
26442740,NS,4.92,78,91,N,Health & Beauty,3554.81,118,151,0
28064328,NS,4.98,88,17,N,Muslim Fashion,2724.43,25,45,0
30348353,OS,4.78,78,591,N,Men Shoes,10603.68,85,7789,0
30460305,NS,4.43,92,782,N,Men Clothes,85287.09,2110,3546,0
30986646,NS,4.85,88,1103,N,"Games, Books & Hobbies",4989.74,65,2985,0
31340988,NS,4.87,94,130,N,Watches,34874,712,7495,0
31507209,NS,4.88,65,282,N,Women Clothes,260.24,9,358,0
31654356,NS,4.96,89,38,N,Computer & Accessories,2250.56,18,110,0
32845490,NS,4.76,78,87,N,Baby & Toys,736.71,12,155,0
34425565,NS,4.65,65,92,N,Mobile & Accessories,2898.54,90,2582,0
34680630,NS,4.48,78,1179,Y,Home & Living,3027.49,18,3457,1
35786702,NS,4.85,92,598,N,Home & Living,755.26,11,2700,0
37748843,NS,5,65,50,N,Baby & Toys,283.04,5,40,0
38738896,PS,4.82,88,260,N,Mobile & Accessories,17642.26,560,1391,0
39937058,NS,4.73,80,478,N,Mobile & Accessories,373.46,11,1141,0
40061540,NS,4.89,86,335,N,Mobile & Accessories,3429.78,25,939,0
40839885,NS,4.54,93,45,N,Men Clothes,6090.23,115,3533,0
41836144,NS,4.8,78,447,N,Watches,1041.61,29,2077,0
42138584,NS,4.6,85,373,N,Mobile & Accessories,278.7,22,580,0
42517351,PS,4.94,92,43,N,Groceries & Pets,5005.43,119,1039,0
42903332,NS,4.87,84,13,N,Health & Beauty,787.04,5,197,0
43877901,NS,4.92,92,16,N,Health & Beauty,1060.67,23,39,0
44406304,PS,4.83,80,227,N,Baby & Toys,3323.85,85,2438,0
45084584,NS,4.83,87,49,N,Muslim Fashion,4029.16,23,97,0
45337200,NS,4.84,93,28,N,Health & Beauty,454,9,642,1
45951495,NS,4.81,78,40,N,Baby & Toys,348.74,10,39,0
46416544,NS,4.97,94,1394,N,Health & Beauty,115864.78,1697,1180,0
47538141,NS,4.92,95,26,N,Baby & Toys,226.08,5,176,0
48107289,OS,4.89,95,82,N,Muslim Fashion,26926.7,509,9364,0
